0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.63	0.104	0.165	0.104	0.191	0.135	0.135	0.122	0.322	0.289	0.377	0.362	0.352	0.348	0.572	0.665	0.628	0.701	0.87	0.987	0.808	0.826	0.481	1.156	1.862	1.76	1.609	1.47	1.425	1.119	
0.457	0.143	0.075	0.063	0.111	0.051	0.032	0.079	0.042	0.092	0.035	0.069	0.061	0.1	0.089	0.081	0.293	0.081	0.683	0.436	0.095	0.275	0.434	0.894	1.494	1.6	1.53	1.532	0.071	0.014	
0.522	0.061	0.072	0.068	0.108	0.06	0.041	0.105	0.028	0.085	0.044	0.047	0.087	0.058	0.087	0.092	0.188	0.096	0.62	0.386	0.103	0.216	0.586	0.976	1.665	1.622	0.02	0.015	0.016	0.018	
0.363	0.12	0.073	0.056	0.118	0.046	0.03	0.084	0.045	0.036	0.071	0.052	0.08	0.088	0.105	0.186	0.342	0.094	0.621	0.402	0.308	1.754	1.084	1.559	2.28	3.024	2.183	0.914	0.022	0.017	
0.548	0.16	0.104	0.092	0.178	0.104	0.178	0.183	0.334	0.359	0.234	0.06	0.074	0.098	0.1	0.141	0.409	0.048	0.716	0.436	0.075	0.357	0.63	1.193	1.927	2.134	0.027	0.016	0.015	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.463	0.165	0.16	0.191	0.165	0.104	0.092	0.117	0.266	0.061	0.051	0.062	0.052	0.126	0.11	0.155	0.377	0.044	0.7	0.398	0.082	0.238	0.455	0.909	1.563	1.544	1.553	1.526	0.835	0.014	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.443	0.191	0.074	0.092	0.172	0.122	0.061	0.165	0.309	0.216	0.316	0.401	0.303	0.327	0.672	0.503	0.627	0.694	0.75	0.273	0.09	0.107	0.379	0.531	0.8	0.86	0.88	0.816	0.756	0.992	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.724	0.051	0.065	0.056	0.126	0.066	0.048	0.064	0.042	0.059	0.071	0.06	0.074	0.067	0.071	0.118	0.208	0.143	0.563	0.425	0.111	0.21	0.409	0.802	1.365	1.491	1.18	0.085	2.301	0.232	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
0.508	0.16	0.092	0.092	0.135	0.178	0.039	0.095	0.048	0.08	0.049	0.047	0.044	0.055	0.065	0.127	0.19	0.067	0.616	0.397	0.116	0.295	0.52	0.891	1.502	1.493	1.578	0.018	0.017	0.05	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.363	0.12	0.073	0.056	0.118	0.046	0.03	0.084	0.045	0.036	0.071	0.052	0.08	0.088	0.105	0.186	0.342	0.094	0.621	0.402	0.308	1.754	1.084	1.559	2.28	3.024	2.183	0.914	0.022	0.017	
0.548	0.16	0.104	0.092	0.178	0.104	0.178	0.183	0.334	0.359	0.234	0.06	0.074	0.098	0.1	0.141	0.409	0.048	0.716	0.436	0.075	0.357	0.63	1.193	1.927	2.134	0.027	0.016	0.015	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.724	0.051	0.065	0.056	0.126	0.066	0.048	0.064	0.042	0.059	0.071	0.06	0.074	0.067	0.071	0.118	0.208	0.143	0.563	0.425	0.111	0.21	0.409	0.802	1.365	1.491	1.18	0.085	2.301	0.232	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
0.508	0.16	0.092	0.092	0.135	0.178	0.039	0.095	0.048	0.08	0.049	0.047	0.044	0.055	0.065	0.127	0.19	0.067	0.616	0.397	0.116	0.295	0.52	0.891	1.502	1.493	1.578	0.018	0.017	0.05	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.463	0.165	0.16	0.191	0.165	0.104	0.092	0.117	0.266	0.061	0.051	0.062	0.052	0.126	0.11	0.155	0.377	0.044	0.7	0.398	0.082	0.238	0.455	0.909	1.563	1.544	1.553	1.526	0.835	0.014	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.443	0.191	0.074	0.092	0.172	0.122	0.061	0.165	0.309	0.216	0.316	0.401	0.303	0.327	0.672	0.503	0.627	0.694	0.75	0.273	0.09	0.107	0.379	0.531	0.8	0.86	0.88	0.816	0.756	0.992	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.724	0.051	0.065	0.056	0.126	0.066	0.048	0.064	0.042	0.059	0.071	0.06	0.074	0.067	0.071	0.118	0.208	0.143	0.563	0.425	0.111	0.21	0.409	0.802	1.365	1.491	1.18	0.085	2.301	0.232	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
0.508	0.16	0.092	0.092	0.135	0.178	0.039	0.095	0.048	0.08	0.049	0.047	0.044	0.055	0.065	0.127	0.19	0.067	0.616	0.397	0.116	0.295	0.52	0.891	1.502	1.493	1.578	0.018	0.017	0.05	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.63	0.104	0.165	0.104	0.191	0.135	0.135	0.122	0.322	0.289	0.377	0.362	0.352	0.348	0.572	0.665	0.628	0.701	0.87	0.987	0.808	0.826	0.481	1.156	1.862	1.76	1.609	1.47	1.425	1.119	
0.457	0.143	0.075	0.063	0.111	0.051	0.032	0.079	0.042	0.092	0.035	0.069	0.061	0.1	0.089	0.081	0.293	0.081	0.683	0.436	0.095	0.275	0.434	0.894	1.494	1.6	1.53	1.532	0.071	0.014	
0.522	0.061	0.072	0.068	0.108	0.06	0.041	0.105	0.028	0.085	0.044	0.047	0.087	0.058	0.087	0.092	0.188	0.096	0.62	0.386	0.103	0.216	0.586	0.976	1.665	1.622	0.02	0.015	0.016	0.018	
0.363	0.12	0.073	0.056	0.118	0.046	0.03	0.084	0.045	0.036	0.071	0.052	0.08	0.088	0.105	0.186	0.342	0.094	0.621	0.402	0.308	1.754	1.084	1.559	2.28	3.024	2.183	0.914	0.022	0.017	
0.548	0.16	0.104	0.092	0.178	0.104	0.178	0.183	0.334	0.359	0.234	0.06	0.074	0.098	0.1	0.141	0.409	0.048	0.716	0.436	0.075	0.357	0.63	1.193	1.927	2.134	0.027	0.016	0.015	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.463	0.165	0.16	0.191	0.165	0.104	0.092	0.117	0.266	0.061	0.051	0.062	0.052	0.126	0.11	0.155	0.377	0.044	0.7	0.398	0.082	0.238	0.455	0.909	1.563	1.544	1.553	1.526	0.835	0.014	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.63	0.104	0.165	0.104	0.191	0.135	0.135	0.122	0.322	0.289	0.377	0.362	0.352	0.348	0.572	0.665	0.628	0.701	0.87	0.987	0.808	0.826	0.481	1.156	1.862	1.76	1.609	1.47	1.425	1.119	
0.457	0.143	0.075	0.063	0.111	0.051	0.032	0.079	0.042	0.092	0.035	0.069	0.061	0.1	0.089	0.081	0.293	0.081	0.683	0.436	0.095	0.275	0.434	0.894	1.494	1.6	1.53	1.532	0.071	0.014	
0.522	0.061	0.072	0.068	0.108	0.06	0.041	0.105	0.028	0.085	0.044	0.047	0.087	0.058	0.087	0.092	0.188	0.096	0.62	0.386	0.103	0.216	0.586	0.976	1.665	1.622	0.02	0.015	0.016	0.018	
0.363	0.12	0.073	0.056	0.118	0.046	0.03	0.084	0.045	0.036	0.071	0.052	0.08	0.088	0.105	0.186	0.342	0.094	0.621	0.402	0.308	1.754	1.084	1.559	2.28	3.024	2.183	0.914	0.022	0.017	
0.548	0.16	0.104	0.092	0.178	0.104	0.178	0.183	0.334	0.359	0.234	0.06	0.074	0.098	0.1	0.141	0.409	0.048	0.716	0.436	0.075	0.357	0.63	1.193	1.927	2.134	0.027	0.016	0.015	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.463	0.165	0.16	0.191	0.165	0.104	0.092	0.117	0.266	0.061	0.051	0.062	0.052	0.126	0.11	0.155	0.377	0.044	0.7	0.398	0.082	0.238	0.455	0.909	1.563	1.544	1.553	1.526	0.835	0.014	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.443	0.191	0.074	0.092	0.172	0.122	0.061	0.165	0.309	0.216	0.316	0.401	0.303	0.327	0.672	0.503	0.627	0.694	0.75	0.273	0.09	0.107	0.379	0.531	0.8	0.86	0.88	0.816	0.756	0.992	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.724	0.051	0.065	0.056	0.126	0.066	0.048	0.064	0.042	0.059	0.071	0.06	0.074	0.067	0.071	0.118	0.208	0.143	0.563	0.425	0.111	0.21	0.409	0.802	1.365	1.491	1.18	0.085	2.301	0.232	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
0.508	0.16	0.092	0.092	0.135	0.178	0.039	0.095	0.048	0.08	0.049	0.047	0.044	0.055	0.065	0.127	0.19	0.067	0.616	0.397	0.116	0.295	0.52	0.891	1.502	1.493	1.578	0.018	0.017	0.05	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.63	0.104	0.165	0.104	0.191	0.135	0.135	0.122	0.322	0.289	0.377	0.362	0.352	0.348	0.572	0.665	0.628	0.701	0.87	0.987	0.808	0.826	0.481	1.156	1.862	1.76	1.609	1.47	1.425	1.119	
0.457	0.143	0.075	0.063	0.111	0.051	0.032	0.079	0.042	0.092	0.035	0.069	0.061	0.1	0.089	0.081	0.293	0.081	0.683	0.436	0.095	0.275	0.434	0.894	1.494	1.6	1.53	1.532	0.071	0.014	
0.522	0.061	0.072	0.068	0.108	0.06	0.041	0.105	0.028	0.085	0.044	0.047	0.087	0.058	0.087	0.092	0.188	0.096	0.62	0.386	0.103	0.216	0.586	0.976	1.665	1.622	0.02	0.015	0.016	0.018	
0.363	0.12	0.073	0.056	0.118	0.046	0.03	0.084	0.045	0.036	0.071	0.052	0.08	0.088	0.105	0.186	0.342	0.094	0.621	0.402	0.308	1.754	1.084	1.559	2.28	3.024	2.183	0.914	0.022	0.017	
0.548	0.16	0.104	0.092	0.178	0.104	0.178	0.183	0.334	0.359	0.234	0.06	0.074	0.098	0.1	0.141	0.409	0.048	0.716	0.436	0.075	0.357	0.63	1.193	1.927	2.134	0.027	0.016	0.015	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.463	0.165	0.16	0.191	0.165	0.104	0.092	0.117	0.266	0.061	0.051	0.062	0.052	0.126	0.11	0.155	0.377	0.044	0.7	0.398	0.082	0.238	0.455	0.909	1.563	1.544	1.553	1.526	0.835	0.014	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.443	0.191	0.074	0.092	0.172	0.122	0.061	0.165	0.309	0.216	0.316	0.401	0.303	0.327	0.672	0.503	0.627	0.694	0.75	0.273	0.09	0.107	0.379	0.531	0.8	0.86	0.88	0.816	0.756	0.992	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.724	0.051	0.065	0.056	0.126	0.066	0.048	0.064	0.042	0.059	0.071	0.06	0.074	0.067	0.071	0.118	0.208	0.143	0.563	0.425	0.111	0.21	0.409	0.802	1.365	1.491	1.18	0.085	2.301	0.232	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
0.508	0.16	0.092	0.092	0.135	0.178	0.039	0.095	0.048	0.08	0.049	0.047	0.044	0.055	0.065	0.127	0.19	0.067	0.616	0.397	0.116	0.295	0.52	0.891	1.502	1.493	1.578	0.018	0.017	0.05	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.63	0.104	0.165	0.104	0.191	0.135	0.135	0.122	0.322	0.289	0.377	0.362	0.352	0.348	0.572	0.665	0.628	0.701	0.87	0.987	0.808	0.826	0.481	1.156	1.862	1.76	1.609	1.47	1.425	1.119	
0.457	0.143	0.075	0.063	0.111	0.051	0.032	0.079	0.042	0.092	0.035	0.069	0.061	0.1	0.089	0.081	0.293	0.081	0.683	0.436	0.095	0.275	0.434	0.894	1.494	1.6	1.53	1.532	0.071	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.443	0.191	0.074	0.092	0.172	0.122	0.061	0.165	0.309	0.216	0.316	0.401	0.303	0.327	0.672	0.503	0.627	0.694	0.75	0.273	0.09	0.107	0.379	0.531	0.8	0.86	0.88	0.816	0.756	0.992	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
0.508	0.16	0.092	0.092	0.135	0.178	0.039	0.095	0.048	0.08	0.049	0.047	0.044	0.055	0.065	0.127	0.19	0.067	0.616	0.397	0.116	0.295	0.52	0.891	1.502	1.493	1.578	0.018	0.017	0.05	
0.459	0.135	0.092	0.095	0.159	0.068	0.035	0.087	0.041	0.044	0.053	0.056	0.091	0.041	0.105	0.174	0.361	0.071	0.626	0.408	0.096	0.307	0.528	0.822	1.383	1.502	0.013	0.013	0.015	0.017	
0.63	0.104	0.165	0.104	0.191	0.135	0.135	0.122	0.322	0.289	0.377	0.362	0.352	0.348	0.572	0.665	0.628	0.701	0.87	0.987	0.808	0.826	0.481	1.156	1.862	1.76	1.609	1.47	1.425	1.119	
0.457	0.143	0.075	0.063	0.111	0.051	0.032	0.079	0.042	0.092	0.035	0.069	0.061	0.1	0.089	0.081	0.293	0.081	0.683	0.436	0.095	0.275	0.434	0.894	1.494	1.6	1.53	1.532	0.071	0.014	
0.522	0.061	0.072	0.068	0.108	0.06	0.041	0.105	0.028	0.085	0.044	0.047	0.087	0.058	0.087	0.092	0.188	0.096	0.62	0.386	0.103	0.216	0.586	0.976	1.665	1.622	0.02	0.015	0.016	0.018	
0.363	0.12	0.073	0.056	0.118	0.046	0.03	0.084	0.045	0.036	0.071	0.052	0.08	0.088	0.105	0.186	0.342	0.094	0.621	0.402	0.308	1.754	1.084	1.559	2.28	3.024	2.183	0.914	0.022	0.017	
0.548	0.16	0.104	0.092	0.178	0.104	0.178	0.183	0.334	0.359	0.234	0.06	0.074	0.098	0.1	0.141	0.409	0.048	0.716	0.436	0.075	0.357	0.63	1.193	1.927	2.134	0.027	0.016	0.015	0.014	
0.526	0.091	0.081	0.07	0.103	0.053	0.064	0.079	0.041	0.045	0.039	0.054	0.086	0.075	0.093	0.134	0.333	0.098	0.722	0.492	0.069	0.325	0.682	1.076	1.766	0.379	0.347	0.179	0.352	0.025	
0.463	0.165	0.16	0.191	0.165	0.104	0.092	0.117	0.266	0.061	0.051	0.062	0.052	0.126	0.11	0.155	0.377	0.044	0.7	0.398	0.082	0.238	0.455	0.909	1.563	1.544	1.553	1.526	0.835	0.014	
0.472	0.16	0.122	0.104	0.221	0.122	0.104	0.178	0.277	0.234	0.266	0.359	0.327	0.434	0.634	0.614	0.594	0.635	0.875	0.998	0.839	0.803	0.652	0.921	1.225	1.35	0.988	0.701	1.186	1.183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.333	0.122	0.147	0.104	0.153	0.074	0.191	0.117	0.334	0.37	0.37	0.315	0.419	0.3	0.563	0.55	0.664	0.651	0.877	0.95	0.831	0.872	0.939	0.862	1.204	1.575	1.019	1.24	0.949	1.165	
0.692	0.104	0.147	0.074	0.122	0.19	0.104	0.122	0.334	0.322	0.471	0.309	0.334	0.534	0.639	0.608	0.732	0.701	0.765	0.811	0.826	0.927	0.776	0.525	0.799	0.891	0.924	0.804	0.787	0.584	
0.667	0.178	0.092	0.104	0.165	0.165	0.043	0.092	0.221	0.228	0.386	0.34	0.419	0.387	0.642	0.668	0.781	0.717	0.654	0.824	0.871	0.855	0.75	0.928	1.135	1.581	1.028	1.055	0.912	1.111	
0.443	0.191	0.074	0.092	0.172	0.122	0.061	0.165	0.309	0.216	0.316	0.401	0.303	0.327	0.672	0.503	0.627	0.694	0.75	0.273	0.09	0.107	0.379	0.531	0.8	0.86	0.88	0.816	0.756	0.992	
0.388	0.196	0.061	0.061	0.068	0.05	0.03	0.079	0.033	0.061	0.037	0.057	0.072	0.065	0.077	0.112	0.199	0.055	0.484	0.307	0.079	0.245	0.415	0.747	1.083	0.101	0.014	0.014	0.013	0.013	
0.724	0.051	0.065	0.056	0.126	0.066	0.048	0.064	0.042	0.059	0.071	0.06	0.074	0.067	0.071	0.118	0.208	0.143	0.563	0.425	0.111	0.21	0.409	0.802	1.365	1.491	1.18	0.085	2.301	0.232	
0.524	0.122	0.135	0.031	0.117	0.147	0.104	0.135	0.241	0.309	0.345	0.377	0.381	0.216	0.604	0.331	0.549	0.808	0.824	1.04	1.003	0.96	0.894	1.109	1.243	1.079	1.788	1.277	1.872	1.308	
